topic,subtopic,content
Hipertensi,Pengertian Hipertensi,"Hipertensi atau darah tinggi adalah kondisi ketika tekanan darah berada pada angka 130/80 mmHg atau lebih. Jika tidak segera ditangani, hipertensi bisa menyebabkan komplikasi serius, seperti gagal jantung, penyakit ginjal, hingga stroke.
Tekanan darah dinyatakan dalam dua nilai angka yang dipisahkan dengan garis miring atau yang biasanya disebut âperâ. Angka di awal, yaitu di sebelah kiri garis miring menandakan tekanan sistolik. Ini adalah tekanan di dalam pembuluh darah ketika jantung berkontraksi untuk memompa darah keluar dari jantung.

Angka di akhir yang berada setelah garis miring menandakan tekanan diastolik, yaitu tekanan darah saat jantung berelaksasi dan menyedot atau menerima darah masuk kembali ke dalam jantung.
Pada kondisi normal, tekanan darah orang dewasa adalah 120/80 mmHg. Artinya, tekanan sistoliknya adalah 120 mmHg dan diastoliknya 80 mmHG.
Tekanan darah tinggi yang terjadi terus-menerus dapat membuat jantung bekerja lebih keras untuk memompa darah ke seluruh tubuh. Kondisi ini lama-kelamaan bisa membuat jantung membesar, merusak pembuluh darah, dan membuat ginjal tidak bisa bekerja dengan baik.
Oleh karena itu, hipertensi perlu segera ditangani. Setelah tekanan darah kembali normal pun, perlu terus dilakukan pemantauan dan bahkan penggunaan obat rutin agar tekanan darah selalu terkontrol.
"
Hipertensi,Penyebab Hipertensi,"Hipertensi dibagi menjadi hipertensi primer dan sekunder. Hipertensi primer berkembang selama bertahun-tahun dan tidak diketahui penyebabnya secara pasti. Hipertensi primer merupakan jenis hipertensi yang paling sering terjadi.
Berbeda dengan hipertensi primer, hipertensi sekunder bisa disebabkan oleh sejumlah kondisi, yaitu:
- Penyakit ginjal
- Penyakit kelenjar tiroid
- Tumor kelenjar adrenal
- Kelainan bawaan pada pembuluh darah
- Kecanduan alkohol
- Penyalahgunaan NAPZA
- Gangguan pernapasan yang terjadi saat tidur (sleep apnea)
- Konsumsi obat-obatan tertentu, seperti obat antiinflamasi nonsteroid (NSAID), obat batuk pilek, atau pil KB
"
Hipertensi,Penyebab Hipertensi: Faktor Risiko Hipertensi,"Ada beberapa faktor yang bisa meningkatkan risiko seseorang terserang hipertensi, yaitu:
- Berusia di atas 65 tahun
- Sedang hamil
- Jarang berolahraga dan jarang melakukan aktivitas fisik
- Kurang mengonsumsi makanan yang mengandung kalium
- Memiliki keluarga dengan riwayat tekanan darah tinggi
- Menderita obesitas, sleep apnea, diabetes, atau penyakit ginjal
- Mengonsumsi terlalu banyak makanan tinggi garam
- Mengonsumsi terlalu banyak kafein
- Memiliki kebiasaan merokok dan mengonsumsi minuman beralkohol
"
Hipertensi,Gejala Hipertensi,"Hipertensi merupakan penyakit yang berbahaya, karena bisa terjadi tanpa gejala. Bahkan, pada beberapa kasus, gejalanya baru muncul setelah hipertensi makin parah dan sampai mengancam nyawa. Gejala yang dapat muncul pada kondisi tersebut adalah:
- Mual dan muntah
- Sakit kepala
- Mimisan
- Sesak napas
- Nyeri dada
- Gangguan penglihatan
- Telinga berdenging
- Gangguan irama jantung
- Darah dalam urine
"
Hipertensi,Gejala Hipertensi: Kapan Harus ke Dokter,"Pada beberapa kasus, hipertensi dapat menjadi kondisi gawat darurat yang membutuhkan penanganan dengan segera. Hal ini terjadi ketika tekanan darah naik dengan cepat dan terlalu tinggi.
Segera ke dokter jika tekanan darah Anda telah mencapai angka 180/120 atau lebih. Anda juga perlu segera ke dokter jika mengalami gejala yang dapat menjadi pertanda kerusakan organ, yaitu:
- Sesak napas
- Nyeri dada
- Sulit berbicara
- Sakit kepala yang parah
- Mati rasa
- Lemas
- Gangguan penglihatan
"
Hipertensi,Diagnosis Hipertensi,"Untuk mendiagnosis hipertensi, dokter akan melakukan tanya jawab mengenai riwayat penyakit pasien dan keluarganya. Dokter juga akan bertanya terkait gaya hidup pasien, seperti kebiasaan merokok dan konsumsi minuman beralkohol.
Diagnosis hipertensi dilakukan dengan mengukur tekanan darah pasien menggunakan alat yang disebut sphygmomanometer. Berikut ini adalah tahapan pemeriksaan tekanan darah yang benar agar didapatkan hasil yang akurat:
- Pasien tidak boleh berolahraga, merokok, dan mengonsumsi minuman berkafein 30 menit sebelum pemeriksaan tekanan darah
- Pasien akan diminta untuk buang air kecil terlebih dahulu, kemudian duduk rileks di kursi dengan kaki berpijak di lantai
- Pasien perlu menggulung lengan kemeja atau melepaskan pakaian yang menutupi area pemasangan manset sphygmomanometer

- Pasien tidak boleh berbicara selama pemeriksaan tekanan darah berlangsung
- Dokter akan mengukur tekanan darah pada kedua lengan pasien, setelah itu pengukuran akan diulang di lengan yang tekanan darahnya lebih tinggi
- Dokter akan mengulang pengukuran tekanan darah minimal dua kali dengan jeda 1â2 menit
Selanjutnya, hasil pengukuran tekanan darah akan diklasifikasikan sebagai berikut:
- Normal, yaitu berada di bawah 130/85 mmHg
- Meningkat, yaitu berkisar antara 130ê·139 mmHg untuk tekanan sistolik dan kurang dari 85-89 mmHg untuk tekanan diastolik
- Hipertensi tingkat 1, yaitu berkisar antara 140ê·159 mmHg untuk tekanan sistolik dan kurang dari 90â99 mmHg untuk tekanan diastolik
- Hipertensi tingkat 2, yaitu berada di angka 160/100 atau lebih
Setelah itu, untuk mencari tahu penyebab tekanan darah tinggi dan mendeteksi kerusakan organ yang mungkin terjadi akibat hipertensi, dokter dapat melakukan pemeriksaan lebih lanjut, meliputi:
- Tes darah, untuk mengetahui fungsi ginjal
- Tes urine, untuk mengetahui fungsi ginjal serta kadar hormon kortisol
- Elektrokardiogram, untuk mengetahui aktivitas listrik jantung
- Ekokardiogram, untuk melihat kondisi katup jantung
- CT scan, untuk mengetahui kondisi ginjal dan kelenjar adrenal
- USG ginjal, untuk memeriksa kondisi ginjal
"
Hipertensi,Pengobatan Hipertensi,"Tekanan darah tinggi bisa diatasi dengan mengubah gaya hidup menjadi lebih sehat. Namun, pada beberapa penderita, perubahan gaya hidup juga harus disertai dengan konsumsi obat antihipertensi.
Perlu atau tidaknya penggunaan obat antihipertensi tergantung pada nilai tekanan darah pasien dan seberapa besar risiko pasien terserang komplikasi, seperti stroke atau serangan jantung.
Berikut ini adalah beberapa metode pengobatan yang dapat digunakan untuk menangani hipertensi:
"
Hipertensi,Pengobatan Hipertensi: Perubahan gaya hidup,"Mengubah gaya hidup menjadi lebih sehat bisa menurunkan tekanan darah dalam beberapa minggu. Biasanya, dokter akan menyarankan perubahan gaya hidup tanpa perlu konsumsi obat jika risiko pasien terserang komplikasi rendah.
Gaya hidup sehat yang dijalani adalah:
- Mengonsumsi lebih banyak buah-buahan dan sayur-sayuran
- Mengurangi konsumsi garam, yaitu maksimal sebanyak satu sendok teh per hari
- Memperbanyak aktivitas fisik dan rutin berolahraga
- Menurunkan berat badan berlebih dan menjaga berat badan ideal
- Menghentikan kebiasaan merokok
- Menghindari atau mengurangi konsumsi minuman beralkohol
- Mengurangi konsumsi minuman berkafein, seperti kopi, teh, atau soda
- Melakukan terapi relaksasi untuk mengelola stres, seperti yoga atau meditasi
"
Hipertensi,Pengobatan Hipertensi: Penggunaan obat-obatan,"Pada beberapa kasus, penderita hipertensi harus mengonsumsi obat penurun tekanan darah dalam jangka panjang atau seumur hidup. Dokter dapat menurunkan dosis atau menghentikan pengobatan jika tekanan darah pasien sudah terkendali melalui perubahan gaya hidup.
Dokter akan meresepkan obat darah tinggi (antihipertensi) pada pasien yang tekanan darahnya lebih dari 140/90 mmHg dan berisiko terserang komplikasi.
Beberapa jenis obat yang sering digunakan untuk menangani hipertensi adalah:
- Diuretik, seperti hydrochlorothiazideÂ atau indapamide

- Antagonis kalsium, seperti amlodipine dan nifedipine

- Penghambat Beta, sepertiÂ carvedilol,Â atenolol dan bisoprolol

- Penghambat Alfa, seperti reserpine

- ACE inhibitor, seperti captopril dan ramipril

- Diuretik hemat kalium, seperti spironolactone

- Angiotensin-2 receptor blocker (ARB), seperti irbesartan, losartan,Â eprosartan, dan valsartan

- Penghambat renin, seperti aliskiren
- Vasodilator, seperti minoxidilÂ atau niacin

Selain itu, beberapa obat hipertensi juga merupakan gabungan dari beberapan jenis obat di atas. Contohnya adalah telmisartan-amlodipine. Biasanya, obat kombinasi digunakan jika satu obat saja tidak bisa menurunkan tekanan darah dengan optimal.
Penting bagi pasien untuk mengonsumsi obat di atas dalam dosis yang sudah ditentukan dan memberitahu dokter jika ada efek samping yang muncul. Pasien juga perlu melakukan kontrol rutin untuk memantau kecocokan dan efektivitas obat yang diberikan.
"
Hipertensi,Komplikasi Hipertensi,"Tekanan darah tinggi bisa merusak pembuluh darah dan organ-organ lain di dalam tubuh. Jika tidak segera diobati, tekanan darah tinggi bisa menimbulkan penyakit serius, seperti:
- Gangguan penglihatan hingga kebutaanÂ akibat retinopati hipertensi

- Sindrom metabolik
- Penyakit ginjal
- Penyakit arteri perifer
- Penyakit jantung (hypertensive heart disease)
- Serangan jantung
- Gagal jantung atau jantung lemah

- Demensia vaskular
- Aneurisma otak
- Stroke
Hipertensi yang tidak terkontrol dengan baik berisiko menjadi krisis hipertensi. Kondisi ini berbahaya dan memerlukan penanganan segera di IGD.
"
