question,ground_truth,penyakit
"Apa hal-hal yang dapat menyebabkan penyakit hipertensi?","Hipertensi sekunder bisa disebabkan oleh sejumlah kondisi, yaitu:\n\nPenyakit ginjal\nPenyakit kelenjar tiroid\nTumor kelenjar adrenal\nKelainan bawaan pada pembuluh darah\nKecanduan alkohol\nPenyalahgunaan NAPZA\nGangguan pernapasan yang terjadi saat tidur (sleep apnea)\nKonsumsi obat-obatan tertentu, seperti obat antiinflamasi nonsteroid (NSAID), obat batuk pilek, atau pil KB","Hipertensi"
"Apa saja gejala hipertensi?","Gejala yang dapat muncul pada kondisi tersebut adalah:\n\nMual dan muntah\nSakit kepala\nMimisan\nSesak napas\nNyeri dada\nGangguan penglihatan\nTelinga berdenging\nGangguan irama jantung\nDarah dalam urine","Hipertensi"
"Bagaimana cara mencegah hipertensi?","Beberapa cara efektif yang dapat dilakukan adalah:\n\nPertahankan berat badan ideal.\nLakukan olahraga secara rutin minimal 30 menit setiap hari.\nCukupi waktu tidur dan istirahat.\nKelola stres dengan baik.\nKonsumsi makanan rendah lemak dan kaya serat, seperti buah dan sayuran.\nBatasi konsumsi garam atau micin dalam makanan, tidak lebih dari satu sendok teh per hari.\nHindari konsumsi minuman beralkohol.\nBatasi konsumsi minuman berkafein.\nHentikan kebiasaan merokok.\nLakukan pemeriksaan kesehatan dan skrining hipertensi secara rutin.","Hipertensi"
"Apa penyebab umum seseorang terkena penyakit jantung?","Secara umum, penyakit jantung dapat diakibatkan oleh kondisi berikut:\n\nPenumpukan lemak di dalam pembuluh darah koroner (aterosklerosis)\nTekanan darah tinggi (hipertensi)\nDiabetes tidak terkontrol\nInfeksi","Penyakit Jantung"
"Bagaimana pola hidup yang benar untuk menyembuhkan penyakit jantung?","Menjalani pola hidup sehat dapat mencegah perburukan penyakit jantung. Beberapa cara yang dapat dilakukan adalah:\n\nBerhenti merokok\nBerolahraga ringan 30 menit sehari\nMengonsumsi makanan rendah lemak dan rendah garam\nMembatasi konsumsi minuman beralkohol","Penyakit Jantung"
"Bagaimana gejala penyakit gagal jantung?","Gejala utama yang timbul akibat gagal jantung antara lain:\n\nSesak napas\nMudah lelah\nPembengkakan di kaki dan pergelangan kaki\n\nSelain beberapa gejala utama di atas, ada beberapa keluhan lain yang dapat muncul, yaitu:\n\nBatuk terus-menerus yang memburuk di malam hari\nBerat badan naik atau turun secara drastis\nRasa cemas dan gelisah\nHilang nafsu makan\nPerut kembung\nMual\nLinglung atau penurunan kesadaran","Gagal Jantung"
"Apa saja obat yang direkomendasikan untuk penderita penyakit gagal jantung?","Beberapa jenis obat yang dapat diresepkan adalah:\n\nDiuretik, seperti spironolactone, furosemide, indapamide, dan acetazolamide untuk mencegah pengumpulan cairan di dalam tubuh\nPenghambat beta, seperti carvedilol dan bisoprolol, untuk memperlambat jantung dan menurunkan tekanan darah\nACE inhibitor, seperti lisinopril, ramipril, dan perindopril, untuk mengurangi ketegangan pada pembuluh darah, menurunkan tekanan darah, dan melancarkan aliran darah\nAngiotensin II receptor blockers (ARB), seperti candesartan, valsartan, dan telmisartan, untuk mengurangi ketegangan pada pembuluh darah pada pasien yang tidak cocok dengan ACE inhibitor\nDigoxin, untuk meningkatkan kekuatan otot jantung\nIvabradine, untuk memperlambat laju denyut jantung\nTolvaptan, untuk mengembalikan kadar natrium darah yang dapat menurun pada pasien gagal jantung\nEmpagliflozin, untuk menurunkan tekanan darah dan beban kerja jantung pada pasien yang juga memiliki diabetes tipe 2.","Gagal Jantung"
"Apa saja hal yang membuat seseorang memiliki risiko tinggi mengidap penyakit gagal jantung?","Ada beberapa faktor yang dapat meningkatkan risiko terjadinya gagal jantung pada seseorang, yaitu:\n\nBerusia di atas 65 tahun\nMemiliki keluarga dengan riwayat gagal jantung\nMemiliki berat badan berlebih atau obesitas\nMerokok\nSering mengonsumsi makanan tinggi lemak dan kolesterol\nJarang berolahraga\nMengonsumsi minuman beralkohol secara berlebihan\nMengonsumsi obat-obatan tertentu, seperti obat pereda nyeri dan obat antihipertensi","Gagal Jantung"
"Apa saja faktor risiko seseorang terkena serangan jantung?","Penyakit jantung koroner merupakan penyebab utama terjadinya serangan jantung. Oleh sebab itu, orang dengan faktor risiko penyakit jantung koroner juga berisiko terkena serangan jantung, antara lain;\n\nBerusia lanjut (≥45 tahun pada pria atau ≥55 tahun pada wanita)\nMenderita tekanan darah tinggi atau hipertensi\nMenderita kolesterol tinggi atau trigliserida tinggi\nMengalami diabetes\nMengalami obesitas\nMengalami stres\nMemiliki keluarga yang pernah mengalami serangan jantung\nJarang berolahraga\nMerokok","Serangan Jantung"
"Apa saja hal yang menunjukkan gejala penyakit jantung?","Serangan jantung bisa muncul secara mendadak dengan beberapa gejala berikut:\n\nNyeri dada sebelah kiri seperti tertekan atau tertindih, yang dapat menjalar ke daerah leher, rahang, lengan, atau punggung\nGangguan pencernaan, seperti mual, muntah, atau sakit perut\nBatuk atau mengi\nSesak napas\nPusing\nKeringat dingin\nGelisah dan cemas\nPenurunan kesadaran","Serangan Jantung"
