question,ground_truth,retrieved_contexts,answer,hypothesis,config,embedding_model,llm_model,hyde,faithfulness
Apa saja penyebab penyakit aritmia?,"Aritmia terjadi ketika impuls listrik yang berfungsi mengatur detak jantung tidak bekerja dengan baik. Kondisi tersebut dapat disebabkan oleh sejumlah kondisi di bawah ini:\nKonsumsi obat pilek atau obat alergi\nSleep apnea\nHipertensi\nDiabetes\nGangguan elektrolit, seperti kelebihan atau kekurangan kalium, hiperkalemia, dan hipomagnesemia\nGangguan tiroid, misalnya hipertiroidisme\nKelainan katup jantung\nPenyakit jantung bawaan, seperti tetralogy of Fallot\nPenyakit jantung koroner\nSerangan jantung\nKardiomiopati\nTorsade de pointes\n\nSelain kondisi medis, aritmia juga dapat dipicu oleh gaya hidup yang tidak sehat, seperti:\nTidak dapat mengelola stres dengan baik\nKurang tidur\nMerokok\nMengonsumsi minuman beralkohol atau berkafein secara berlebihan\nMenyalahgunakan NAPZA","['Topik: Aritmia, Subtopik: Komplikasi Aritmia \n Pada beberapa kasus, aritmia dapat memburuk dan menyebabkan komplikasi serius, seperti:\n- Demensia\n- Penyakit Alzheimer\n- Stroke\n- Gagal jantung\n- Henti jantung mendadak\n- Kematian mendadak pada bayi (SIDS)\n', 'Topik: Aritmia, Subtopik: Pencegahan Aritmia \n Seperti telah dijelaskan di atas, banyak faktor yang bisa menyebabkan aritmia. Oleh karena itu, pencegahannya tergantung pada penyebab aritmia tersebut.\n', 'Topik: Aritmia, Subtopik: Pengertian Aritmia \n Aritmia adalah gangguan yang terjadi pada irama jantung. Penderita aritmia bisa merasakan irama jantungnya terlalu cepat, terlalu lambat, atau tidak teratur.\nSebenarnya, aritmia normal terjadi pada kondisi jantung yang sehat. Namun, bila terjadi terus menerus atau berulang, aritmia bisa menandakan adanya masalah pada organ jantung.\n\n']","Penyebab penyakit aritmia antara lain:\n- Gangguan pada sistem konduksi jantung, seperti peradangan atau kerusakan pada sel-sel otot jantung.\n- Penyakit degeneratif seperti hipertensi dan aterosklerosis yang menyebabkan penurunan fungsi pembuluh darah ke jantung.\n- Gangguan pada sistem saraf simpatis, seperti gangguan pada sistem saraf otonom, yang dapat mengganggu irama jantung.",None,combination_1,nomic-embed-text,llama3.1,False,0.0
Apa kelainan jantung yang diderita seseorang dengan torsade de pointes?,"Pada torsade de pointes, bilik jantung berdetak lebih cepat dan tidak selaras dengan denyut pada atrium. Perlu diketahui, denyut jantung manusia pada kondisi normal adalah 60−100 per menit. Sementara pada torsade de pointes, bilik jantung dapat berdenyut hingga 150–300 per menit.","['Topik: Torsade de Pointes, Subtopik: Pengertian Torsade de Pointes \n Torsade de pointes adalah kelainan jantung berupa kecepatan denyut pada bilik jantung (ventrikel) yang melebihi batas normal. Kondisi ini dapat disebabkan oleh kelainan bawaan atau efek samping obat-obatan. Jika tidak segera ditangani, torsade de pointes dapat menyebabkan henti jantung mendadak.\nJantung memiliki empat ruang utama yang dibagi menjadi dua, yaitu dua ruang bagian bawah (bilik jantung) dan dua ruang bagian atas (atrium). Kedua ruangan ini berfungsi untuk menerima dan memompa darah di jantung.\n\nPada torsade de pointes, bilik jantung berdetak lebih cepat dan tidak selaras dengan denyut pada atrium. Perlu diketahui, denyut jantung manusia pada kondisi normal adalah 60  100 per menit. Sementara pada torsade de pointes, bilik jantung dapat berdenyut hingga 150  300 per menit.\n', 'Topik: Torsade de Pointes, Subtopik: Pencegahan Torsade de Pointes \n Cara mencegah torsade de pointes adalah dengan menurunkan risiko terjadinya kondisi tersebut. Beberapa upaya yang dapat dilakukan adalah:\n- Hindari minum obat tanpa saran dari dokter.\n- Terapkan pola hidup yang sehat untuk menghindari serangan jantung.\n- Jaga kesehatan ginjal dengan minum air putih yang cukup, serta selalu jaga kadar gula darah.\n- Hentikan kebiasaan merokok.\n- Terapkan perilaku hidup bersih dan sehat (PHBS) untuk menghindari diare parah yang bisa mengakibatkan hipokalemia.\nSelain itu, ada beberapa langkah untuk menurunkan risiko terjadinya torsade de pointes yang disebabkan oleh kelainan jantung bawaan, yaitu:\n- Lakukan pemeriksaan jantung secara berkala jika menderita long QT syndrome atau memiliki keluarga dengan kondisi tersebut.\n- Konsultasikan dengan dokter sebelum melakukan aktivitas berat, seperti lari maraton.\n', 'Topik: Torsade de Pointes, Subtopik: Penyebab Torsade de Pointes: Congenital long QT syndrome \n Congenital long QT syndrome adalah kelainan bawaan yang menyebabkan gangguan aktivitas listrik pada bilik jantung. Sindrom ini dinamai demikian karena terjadi pemanjangan interval gelombang QRS ke T pada pemeriksaan rekam jantung (EKG).\nMakin sering seseorang mengalami pemanjangan interval QT, maka risiko terkena torsade de pointes makin tinggi.\n']",Kelainan jantung yang diderita seseorang dengan torsade de pointes adalah congenital long QT syndrome.,None,combination_1,nomic-embed-text,llama3.1,False,0.0
Jenis obat apa yang digunakan untuk meredakan gejala angina pectoris?,"Beberapa jenis obat yang dapat diberikan oleh dokter untuk meredakan gejala angina adalah:\n\nObat pengencer darah, seperti aspirin, clopidogrel, atau ticagrelor\nObat pelebar pembuluh darah golongan nitrat, seperti nitrogliserin dan isosorbide dinitrate, untuk melebarkan dan merelaksasi pembuluh darah, sehingga aliran darah ke jantung lebih baik\nObat penghambat beta, seperti atenolol,bisoprolol, atau carvedilol, untuk memperlambat denyut jantung dan membuat pembuluh darah lebih rileks sehingga mengurangi beban kerja jantung\nObat untuk mengontrol penyakit diabetes, kolesterol, dan hipertensi yang merupakan faktor risiko dari penyakit jantung koroner\nObat antiangina, seperti trimetazidine atau ranolazine, untuk mengurangi dan mencegah kejadian nyeri dada","['Topik: Angina Pectoris, Subtopik: Pengobatan Angina Pectoris: Prosedur medis \n Apabila angina pectoris tidak mereda setelah pemberian obat-obatan, dokter akan menganjurkan tindakan medis, seperti:\n- Pemberian suntikan antikoagulan, seperti fondaparinux\n\n- Pemasangan ring jantung, untuk melebarkan arteri yang menyempit dengan meletakkan kawat khusus (ring) yang berbentuk seperti tabung di pembuluh darah arteri jantung\n- Operasi bypass jantung, dengan mengambil pembuluh darah dari bagian tubuh lain, untuk membuat saluran aliran darah baru sebagai pengganti saluran aliran darah yang menyempit\nSelain menjalani pengobatan, pasien perlu menjalani pengobatan untuk berbagai faktor risiko penyakit jantung koroner penyebab angina, seperti hipertensi dan diabetes.\nPasien juga perlu melakukan perubahan gaya hidup untuk mencegah keluhan ini muncul kembali dan meningkatkan harapan hidup. Perubahan gaya hidup yang perlu dilakukan meliputi olahraga secara teratur, menerapkan pola makan yang sehat, berhenti merokok, dan beristirahat yang cukup.\n', 'Topik: Angina Pectoris, Subtopik: Gejala Angina Pectoris: Unstable angina \n Berbeda dengan dua jenis angina yang dijelaskan sebelumnya, Prinzmetal  s angina disebabkan oleh kekakuan di arteri jantung. Kondisi ini menyebabkan jumlah aliran darah menurun untuk sementara waktu.\nPrinzmetal  s angina merupakan jenis angina yang cukup jarang terjadi. Angina jenis ini biasanya muncul saat istirahat, di malam hari atau di pagi hari. Intensitas nyerinya cukup berat, tetapi biasanya mereda dengan pemberian obat-obatan.\n', 'Topik: Angina Pectoris, Subtopik: Pencegahan Angina Pectoris \n Angina pectoris dapat dicegah dengan menerapkan gaya hidup sehat. Upaya yang bisa diterapkan antara lain:\n- Berhenti merokok dan membatasi konsumsi minuman beralkohol\n- Berolahraga secara teratur dan menjaga berat badan ideal\n- Memperbaiki pola makan dengan mengonsumsi makanan rendah lemak dan garam, buah-buahan, sayur-sayuran, dan gandum utuh.\n- Menghindari konsumsi makanan tinggi lemak jenuh, seperti sosis dan daging berlemak, mentega, keju, dan makanan cepat saji\n- Mengelola stres dengan cara yang positif, bisa dengan yoga, meditasi, atau melakukan hobi yang menyenangkan\n- Memeriksakan diri ke dokter secara berkala jika menderita hipertensi, hiperkolesterolemia, atau diabetes\n- Mengonsumsi obat-obatan untuk menurunkan kejadian angina dalam jangka panjang, seperti amlodipine\n\n']","Jenis obat yang umum digunakan untuk meredakan gejala angina pectoris adalah nifedipin (brand name Procardia). Nifedipin termasuk dalam kelas zat bersifat relaxasi musculer, yang bekerja menghilangkan kekakuan pada arteri jantung sehingga aliran darah tidak terganggu. Obat ini sering digunakan untuk mengobati hipertensi dan mencegah angina pectoris akibat penyempitan arteri jantung.",None,combination_2,nomic-embed-text,deepseek-v2,False,0.0
Apa saja penyebab penyakit aritmia?,"Aritmia terjadi ketika impuls listrik yang berfungsi mengatur detak jantung tidak bekerja dengan baik. Kondisi tersebut dapat disebabkan oleh sejumlah kondisi di bawah ini:\nKonsumsi obat pilek atau obat alergi\nSleep apnea\nHipertensi\nDiabetes\nGangguan elektrolit, seperti kelebihan atau kekurangan kalium, hiperkalemia, dan hipomagnesemia\nGangguan tiroid, misalnya hipertiroidisme\nKelainan katup jantung\nPenyakit jantung bawaan, seperti tetralogy of Fallot\nPenyakit jantung koroner\nSerangan jantung\nKardiomiopati\nTorsade de pointes\n\nSelain kondisi medis, aritmia juga dapat dipicu oleh gaya hidup yang tidak sehat, seperti:\nTidak dapat mengelola stres dengan baik\nKurang tidur\nMerokok\nMengonsumsi minuman beralkohol atau berkafein secara berlebihan\nMenyalahgunakan NAPZA","['Topik: Aritmia, Subtopik: Komplikasi Aritmia \n Pada beberapa kasus, aritmia dapat memburuk dan menyebabkan komplikasi serius, seperti:\n- Demensia\n- Penyakit Alzheimer\n- Stroke\n- Gagal jantung\n- Henti jantung mendadak\n- Kematian mendadak pada bayi (SIDS)\n', 'Topik: Aritmia, Subtopik: Pencegahan Aritmia \n Seperti telah dijelaskan di atas, banyak faktor yang bisa menyebabkan aritmia. Oleh karena itu, pencegahannya tergantung pada penyebab aritmia tersebut.\n', 'Topik: Aritmia, Subtopik: Pengertian Aritmia \n Aritmia adalah gangguan yang terjadi pada irama jantung. Penderita aritmia bisa merasakan irama jantungnya terlalu cepat, terlalu lambat, atau tidak teratur.\nSebenarnya, aritmia normal terjadi pada kondisi jantung yang sehat. Namun, bila terjadi terus menerus atau berulang, aritmia bisa menandakan adanya masalah pada organ jantung.\n\n']","Berdasarkan konteks yang diberikan, beberapa penyebab aritmias termasuk faktor riwayat keluarga, stres mental dan emosi, obesitas, merokok, alkohol atau zat lain yang toksik, infeksi jantung atau sistem imun lainnya, anemia, penyakit ginjal atau hati, serta dehidrasi. Selain itu, penggunaan obat-obatan seperti antidepressan, beta blokir, dan ergot alokaina juga bisa menyebabkan aritmia. Faktor genetik dan penyakit jantung lainnya, seperti hipertrofi ventrikel kiri atau valvular heart disease, juga dapat memicu aritmia.",None,combination_2,nomic-embed-text,deepseek-v2,False,0.0
Bagaimana pertolongan pertama untuk penderita penyakit jantung?,"Lakukan pertolongan pertama berupa cardiopulmonary resuscitation (CPR) atau resusitasi jantung paru (RJP). Namun, jika memungkinkan, bawalah penderita langsung ke instalasi gawat darurat (IGD) rumah sakit terdekat.","['Topik: Serangan Jantung, Subtopik: Pencegahan Serangan Jantung: Menjalani pemeriksaan kesehatan secara rutin \n Rutin menjalani pemeriksaan kesehatan setidaknya 1 tahun sekali dapat membantu mendeteksi penyakit jantung lebih dini. Meski cara deteksi penyakit jantung lewat jari bisa dilakukan secara mandiri, namun untuk memastikan kondisi kesehatan sebenarnya, Anda sebaiknya melakukan pemeriksaan kesehatan rutin ke fasilitas kesehatan. Selain penyakit jantung, pemeriksaan ini juga dapat mendeteksi gangguan pada tekanan darah, kadar gula darah dan kolesterol, serta berbagai penyakit lainnya.\n', 'Topik: Serangan Jantung, Subtopik: Gejala Serangan Jantung \n Serangan jantung bisa muncul secara mendadak dengan beberapa gejala berikut:\n- Nyeri dada sebelah kiri seperti tertekan atau tertindih, yang dapat menjalar ke daerah leher, rahang, lengan, atau punggung\n- Gangguan pencernaan, seperti mual, muntah, atau sakit perut\n\n- Batuk atau mengi\n\n- Sesak napas\n- Pusing\n- Keringat dingin\n- Gelisah dan cemas\n- Penurunan kesadaran\nSerangan jantung tidak selalu muncul mendadak. Terkadang, beberapa hari atau minggu sebelumnya, penderita sudah merasakan nyeri dada (angina) yang muncul saat beraktivitas dan mereda saat beristirahat.\nBahkan, pada beberapa kasus, serangan jantung tidak menimbulkan gejala sama sekali, terutama pada penderita diabetes, wanita, dan lansia.\n', 'Topik: Serangan Jantung, Subtopik: Pengertian Serangan Jantung \n Serangan jantung adalah gangguan jantung serius ketika otot jantung tidak mendapat aliran darah. Kondisi ini akan mengganggu fungsi jantung dalam mengalirkan darah ke seluruh tubuh. Serangan jantung dapat menyebabkan kematian bila tidak segera tertangani.\nSerangan jantung, atau disebut juga infark miokard, terjadi akibat terhambatnya aliran darah ke otot jantung. Penyebab utama kondisi ini adalah penyakit jantung koroner.\n\nPenyakit jantung koroner terjadi ketika pembuluh darah koroner yang memasok darah ke jantung tersumbat. Penyumbatan ini terjadi karena timbunan kolesterol yang membentuk plak di dinding pembuluh darah.\n']","Pertolongan pertama untuk penderita serangan jantung melibatkan beberapa langkah penting untuk membantu mengurangi risiko komplikasi dan meningkatkan kemungkinan kesembuhan. Berikut adalah langkah-langkah dasar dalam memberikan pertolongan pertama pada penderita serangan jantung:\n\n1.  **Tetap tenang**: Ketika menemukan seseorang yang mungkin mengalami serangan jantung, penting untuk tetap tenang dan tidak panik. Panik dapat memperburuk kondisi dan membuat Anda tidak bisa memberikan pertolongan yang tepat.\n2.  **Panggil bantuan medis:** Hubungi layanan darurat atau ambulans segera jika Anda mengira seseorang mengalami serangan jantung. Beritahu mereka tentang gejala-gejalanya dan lokasinya.\n3.  **Letakkan pasien dalam posisi yang nyaman**: Jika pasien tidak dapat berdiri dengan sendirinya, letakkannya di tempat yang aman dan nyaman untuk mengurangi risiko cedera lebih lanjut. Pastikan dia dalam posisi tegak atau duduk dengan kaki-nya terangkat sekitar 12 inci dari lantai.\n4.  **Berikan oksigen**: Jika tersedia, berikan pasien oksigen untuk membantu meningkatkan kadar oksigen dalam darah dan mengurangi kebutuhan jantung untuk bekerja keras.\n5.  **Jangan memberikan obat-obatan:** Tidak ada obat yang dapat menyelamatkan nyawa seseorang yang sedang mengalami serangan jantung. Jika pasien menggunakan nitrat atau obat lainnya, tidak boleh digunakan tanpa instruksi dokter.\n6.  **Tetap bersama sampai ambulans datang:** Jaga pasien tetap di dekat Anda sampai ambulans tiba dan mereka bisa memindahkan pasien ke rumah sakit.\n\nPenting untuk diingat bahwa pertolongan pertama adalah langkah awal dalam proses penyelamatan. Segera hubungi layanan darurat atau ambulans jika Anda mengira seseorang mengalami serangan jantung.",None,combination_3,mxbai-embed-large,llama3.1,False,0.0
Apa saja hal yang menunjukkan gejala penyakit jantung?,"Serangan jantung bisa muncul secara mendadak dengan beberapa gejala berikut:\n\nNyeri dada sebelah kiri seperti tertekan atau tertindih, yang dapat menjalar ke daerah leher, rahang, lengan, atau punggung\nGangguan pencernaan, seperti mual, muntah, atau sakit perut\nBatuk atau mengi\nSesak napas\nPusing\nKeringat dingin\nGelisah dan cemas\nPenurunan kesadaran","['Topik: Serangan Jantung, Subtopik: Pencegahan Serangan Jantung: Menjalani pemeriksaan kesehatan secara rutin \n Rutin menjalani pemeriksaan kesehatan setidaknya 1 tahun sekali dapat membantu mendeteksi penyakit jantung lebih dini. Meski cara deteksi penyakit jantung lewat jari bisa dilakukan secara mandiri, namun untuk memastikan kondisi kesehatan sebenarnya, Anda sebaiknya melakukan pemeriksaan kesehatan rutin ke fasilitas kesehatan. Selain penyakit jantung, pemeriksaan ini juga dapat mendeteksi gangguan pada tekanan darah, kadar gula darah dan kolesterol, serta berbagai penyakit lainnya.\n', 'Topik: Serangan Jantung, Subtopik: Penyebab Serangan Jantung: Penyakit jantung koroner \n Penyakit jantung koroner merupakan penyebab utama serangan jantung. Kondisi ini terjadi ketika satu atau lebih pembuluh yang memberi pasokan darah ke jantung (pembuluh darah koroner) tersumbat. Penyumbatan tersebut dapat disebabkan oleh penumpukan plak kolesterol (aterosklerosis) atau gumpalan darah.\n', 'Topik: Serangan Jantung, Subtopik: Pengobatan Serangan Jantung: Gangguan mental \n Setelah pulang dari rumah sakit, pasien dapat merasa cemas, takut, atau mengalami trauma akibat serangan jantung. Hal tersebut bisa memengaruhi proses pemulihan. Oleh karena itu, penderita perlu berkonsultasi dengan psikiater untuk mendapatkan penanganan terhadap gangguan mental tersebut.\n']","Gejala penyakit jantung dapat ditandai oleh beberapa faktor, seperti gangguan mental setelah mengalami serangan jantung. Selain itu, gejala lainnya adalah nyeri pada bagian dada, leher, dan lengan kiri.\n\nPengaruh dari gejala tersebut akan berbeda-beda tergantung pada individu. Beberapa orang mungkin hanya mengalami rasa sakit ringan, sedangkan yang lain bisa merasakan kesulitan bernapas atau kelelahan secara tiba-tiba.",None,combination_3,mxbai-embed-large,llama3.1,False,0.0
Siapa saja orang yang berisiko mengalami takikardia?,"Takikardia atau aritmia lebih sering terjadi pada orang dengan faktor berikut:\n\nBerusia lanjut\nMemiliki penyakit endokrin, seperti diabetes atau penyakit tiroid, yang tidak terkontrol\nMemiliki hipertensi yang tidak terkontrol\nMengalami infeksi bakteri atau virus yang berat\nMenderita atau pernah mengalami hipertensi pulmonal\nMengonsumsi minuman beralkohol secara berlebihan\nMenggunakan NAPZA\nTidak cukup mengonsumsi kalsium, magnesium, atau kalium\n\nTakikardia supraventrikuler lebih sering dialami oleh wanita dan anak-anak, orang yang memiliki kebiasaan merokok, serta orang yang mengonsumsi minuman beralkohol atau berkafein secara berlebihan.","['Topik: Takikardia, Subtopik: Pengertian Takikardia \n Takikardia adalah kondisi jantung yang berdetak melebihi 100 kali per menit. Takikardia dapat terjadi sebagai respons dari kondisi normal, penyakit, atau gangguan irama jantung (aritmia).\nNormalnya, jantung berdetak 60  100 kali per menit. Jika detak jantung lebih dari 100 kali per menit, kondisi ini disebut takikardia.\n\nTakikardia terbagi dua, yaitu takikardia sinus dan aritmia. Takikardia sinus bisa terjadi ketika seseorang sedang berolahraga. Kondisi ini juga dapat terjadi sebagai respons tubuh terhadap stres, trauma, atau penyakit. Sementara aritmia terjadi akibat gangguan pada serambi atau bilik jantung sehingga detak jantung menjadi lebih cepat.\nTakikardia umumnya tidak menimbulkan gejala atau komplikasi. Namun, kondisi ini dapat mengganggu fungsi jantung jika dibiarkan tidak tertangani. Akibatnya, penderita bisa mengalami gagal jantung, stroke, serangan jantung mendadak, bahkan kematian.\n', 'Topik: Takikardia, Subtopik: Pengertian Takikardia \n Normalnya, jantung berdetak 60  100 kali per menit. Jika detak jantung lebih dari 100 kali per menit, kondisi ini disebut takikardia.\n\nTakikardia terbagi dua, yaitu takikardia sinus dan aritmia. Takikardia sinus bisa terjadi ketika seseorang sedang berolahraga. Kondisi ini juga dapat terjadi sebagai respons tubuh terhadap stres, trauma, atau penyakit. Sementara aritmia terjadi akibat gangguan pada serambi atau bilik jantung sehingga detak jantung menjadi lebih cepat.\nTakikardia umumnya tidak menimbulkan gejala atau komplikasi. Namun, kondisi ini dapat mengganggu fungsi jantung jika dibiarkan tidak tertangani. Akibatnya, penderita bisa mengalami gagal jantung, stroke, serangan jantung mendadak, bahkan kematian.\n', 'Topik: Takikardia, Subtopik: Komplikasi Takikardia \n Takikardia dapat menyebabkan sejumlah komplikasi, tergantung pada jenis, kecepatan detak jantung, irama jantung dan waktu berlangsungnya takikardia. Komplikasi juga dapat terjadi tergantung pada ada atau tidaknya gangguan jantung yang dialami pasien.\nBerikut ini adalah beberapa komplikasi yang umum terjadi akibat takikardia:\n- Penggumpalan darah, yang dapat menyebabkan stroke atau serangan jantung\n- Gagal jantung, yang ditandai dengan ketidakmampuan jantung untuk memompa cukup darah\n- Sering pingsan atau tidak sadarkan diri\n- Kematian mendadak, yang biasanya terjadi akibat takikardia ventrikel atau fibrilasi ventrikel\n']","Orang-orang yang cenderung memiliki risiko tinggi untuk mengalami takikardia termasuk mereka:\n1. Penderita penyakit jantung, seperti hipertensi atau valvular heart disease.\n2. Pasien diabetes mellitus dan pasien lainnya dengan riwayat penyakit obesitas.\n3. Pemain olahraga yang intensif, khususnya yang sering berolahraga secara anaerob atau shock-prone.\n4. Mereka yang mengalami stres emotional dan trauma akut.\n5. Pasien dengan gangguan fungsi saraf perifer atau metabolik lainnya.\n6. Penderita asidosis metabolis, seperti yang umumnya terdapat pada pasien pneumonia atau anemia hipoksemia.",None,combination_4,mxbai-embed-large,deepseek-v2,False,0.0
Apa saja hal yang menunjukkan gejala penyakit jantung?,"Serangan jantung bisa muncul secara mendadak dengan beberapa gejala berikut:\n\nNyeri dada sebelah kiri seperti tertekan atau tertindih, yang dapat menjalar ke daerah leher, rahang, lengan, atau punggung\nGangguan pencernaan, seperti mual, muntah, atau sakit perut\nBatuk atau mengi\nSesak napas\nPusing\nKeringat dingin\nGelisah dan cemas\nPenurunan kesadaran","['Topik: Serangan Jantung, Subtopik: Pencegahan Serangan Jantung: Menjalani pemeriksaan kesehatan secara rutin \n Rutin menjalani pemeriksaan kesehatan setidaknya 1 tahun sekali dapat membantu mendeteksi penyakit jantung lebih dini. Meski cara deteksi penyakit jantung lewat jari bisa dilakukan secara mandiri, namun untuk memastikan kondisi kesehatan sebenarnya, Anda sebaiknya melakukan pemeriksaan kesehatan rutin ke fasilitas kesehatan. Selain penyakit jantung, pemeriksaan ini juga dapat mendeteksi gangguan pada tekanan darah, kadar gula darah dan kolesterol, serta berbagai penyakit lainnya.\n', 'Topik: Serangan Jantung, Subtopik: Penyebab Serangan Jantung: Penyakit jantung koroner \n Penyakit jantung koroner merupakan penyebab utama serangan jantung. Kondisi ini terjadi ketika satu atau lebih pembuluh yang memberi pasokan darah ke jantung (pembuluh darah koroner) tersumbat. Penyumbatan tersebut dapat disebabkan oleh penumpukan plak kolesterol (aterosklerosis) atau gumpalan darah.\n', 'Topik: Serangan Jantung, Subtopik: Pengobatan Serangan Jantung: Gangguan mental \n Setelah pulang dari rumah sakit, pasien dapat merasa cemas, takut, atau mengalami trauma akibat serangan jantung. Hal tersebut bisa memengaruhi proses pemulihan. Oleh karena itu, penderita perlu berkonsultasi dengan psikiater untuk mendapatkan penanganan terhadap gangguan mental tersebut.\n']","Hal-hal yang menunjukkan gejala penyakat jantung termasuk perubahan dalam pencernaan, rasa lelah atau ketegangan, nyeri di belakang payudara, mual atau sesak makanan, gatalan atau imej kotor pada kaki, sering demam dan luka yang sulit untuk b愈合. Selain itu, ada juga beberapa gejala lainnya seperti bising di telinga, tidur berlebihan, kehilangan daya tahan, sesak nafas, dan tekanan darah yang tinggi atau rendah.",None,combination_4,mxbai-embed-large,deepseek-v2,False,0.0
Makanan apa yang tepat untuk mencegah penyakit jantung koroner?,"Makanan tinggi serat, seperti sayur dan buah. Selain itu, tingkatkan kadar kolesterol baik atau HDL dengan memperbanyak konsumsi makanan tinggi lemak tak jenuh. Jenis makanan ini antara lain minyak ikan, minyak zaitun, minyak biji bunga matahari, minyak sayur, serta alpukat dan kacang-kacangan.","['Topik: Penyakit Jantung Koroner, Subtopik: Pencegahan Penyakit Jantung Koroner: Berolahraga rutin \n Pola makan sehat yang dikombinasikan dengan olahraga rutin dapat menjaga berat badan ideal. Di samping itu, olahraga rutin dapat menurunkan kadar kolesterol dan menjaga tekanan darah tetap normal.\nLuangkan waktu untuk berolahraga setidaknya 150 menit dalam seminggu, misalnya dengan jogging, senam, atau renang. Namun, bagi orang yang berisiko terserang penyakit jantung koroner, diskusikan terlebih dahulu dengan dokter mengenai jenis dan durasi olahraga yang tepat.\n', 'Topik: Penyakit Jantung Koroner, Subtopik: Pencegahan Penyakit Jantung Koroner: Mengonsumsi obat dengan benar \n Pastikan untuk mengikuti petunjuk dokter dalam mengonsumsi obat-obatan. Penting untuk diingat bahwa jangan menghentikan pengobatan tanpa berkonsultasi dengan dokter, karena berisiko memperburuk penyakit yang diderita.\nBeberapa upaya lain untuk mencegah penyakit jantung koroner adalah:\n- Berhenti merokok\n- Membatasi konsumsi minuman beralkohol\n- Mengelola stres dengan baik\n- Mempertahankan berat badan ideal\n- Menjalani pemeriksaan tekanan darah, gula darah, dan kolesterol secara berkala\n', 'Topik: Penyakit Jantung Koroner, Subtopik: Pencegahan Penyakit Jantung Koroner \n Cara untuk mencegah penyakit jantung koroner adalah dengan menjalani pola hidup sehat, seperti:\n']","Makanan yang tepat untuk mencegah penyakit jantung koroner adalah:\n- Buah-buahan seperti apel, jeruk, dan semangka.\n- Sayuran seperti brokoli, wortel, dan buncis.\n- Makanan laut seperti udang dan ikan salmon.","Makanan yang baik untuk pencegahan penyakit jantung koroner antara lain adalah buah-buahan dan sayuran segar, seperti apel, jeruk, brokoli dan wortel. Selain itu, makanan yang mengandung omega-3 seperti ikan salmon atau sarden juga dapat membantu dalam pencegahan penyakit jantung koroner.",combination_5,nomic-embed-text,llama3.1,True,0.0
Apa kelainan jantung yang diderita seseorang dengan torsade de pointes?,"Pada torsade de pointes, bilik jantung berdetak lebih cepat dan tidak selaras dengan denyut pada atrium. Perlu diketahui, denyut jantung manusia pada kondisi normal adalah 60−100 per menit. Sementara pada torsade de pointes, bilik jantung dapat berdenyut hingga 150–300 per menit.","['Topik: Torsade de Pointes, Subtopik: Pengertian Torsade de Pointes \n Torsade de pointes adalah kelainan jantung berupa kecepatan denyut pada bilik jantung (ventrikel) yang melebihi batas normal. Kondisi ini dapat disebabkan oleh kelainan bawaan atau efek samping obat-obatan. Jika tidak segera ditangani, torsade de pointes dapat menyebabkan henti jantung mendadak.\nJantung memiliki empat ruang utama yang dibagi menjadi dua, yaitu dua ruang bagian bawah (bilik jantung) dan dua ruang bagian atas (atrium). Kedua ruangan ini berfungsi untuk menerima dan memompa darah di jantung.\n\nPada torsade de pointes, bilik jantung berdetak lebih cepat dan tidak selaras dengan denyut pada atrium. Perlu diketahui, denyut jantung manusia pada kondisi normal adalah 60  100 per menit. Sementara pada torsade de pointes, bilik jantung dapat berdenyut hingga 150  300 per menit.\n', 'Topik: Torsade de Pointes, Subtopik: Pencegahan Torsade de Pointes \n Cara mencegah torsade de pointes adalah dengan menurunkan risiko terjadinya kondisi tersebut. Beberapa upaya yang dapat dilakukan adalah:\n- Hindari minum obat tanpa saran dari dokter.\n- Terapkan pola hidup yang sehat untuk menghindari serangan jantung.\n- Jaga kesehatan ginjal dengan minum air putih yang cukup, serta selalu jaga kadar gula darah.\n- Hentikan kebiasaan merokok.\n- Terapkan perilaku hidup bersih dan sehat (PHBS) untuk menghindari diare parah yang bisa mengakibatkan hipokalemia.\nSelain itu, ada beberapa langkah untuk menurunkan risiko terjadinya torsade de pointes yang disebabkan oleh kelainan jantung bawaan, yaitu:\n- Lakukan pemeriksaan jantung secara berkala jika menderita long QT syndrome atau memiliki keluarga dengan kondisi tersebut.\n- Konsultasikan dengan dokter sebelum melakukan aktivitas berat, seperti lari maraton.\n', 'Topik: Torsade de Pointes, Subtopik: Penyebab Torsade de Pointes: Congenital long QT syndrome \n Congenital long QT syndrome adalah kelainan bawaan yang menyebabkan gangguan aktivitas listrik pada bilik jantung. Sindrom ini dinamai demikian karena terjadi pemanjangan interval gelombang QRS ke T pada pemeriksaan rekam jantung (EKG).\nMakin sering seseorang mengalami pemanjangan interval QT, maka risiko terkena torsade de pointes makin tinggi.\n']",Kelainan jantung yang diderita oleh orang dengan Torsade de Pointes adalah Congenital long QT syndrome.,"Kelainan jantung yang disebabkan oleh torsade de pointes adalah fibrilasi ventrikel. Torsade de pointes merupakan komplikasi dari fibrilasi ventrikel. Fibrilasi ventrikel dapat menyebabkan aritmia jantung, yaitu kondisi dimana detak jantung tidak teratur atau tidak terkoordinasikan.",combination_5,nomic-embed-text,llama3.1,True,0.0
